127.0.0.1 - - [02/Apr/2017:00:02:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:41 +0530] "GET /Lab09/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:42 +0530] "GET /Lab09/ItemController?action=viewitem HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:42 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:53 +0530] "GET /Lab09/ItemController?action=viewitem HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:54 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:02:58 +0530] "GET /Lab09/additem.jsp HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:12 +0530] "POST /Lab09/ItemController HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:13 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:16 +0530] "GET /Lab09/additem.jsp HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:22 +0530] "POST /Lab09/ItemController HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:23 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:27 +0530] "GET /Lab09/ItemController?action=edititem&icode=18 HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:34 +0530] "POST /Lab09/ItemController HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:34 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:37 +0530] "GET /Lab09/ItemController?action=deleteitem&icode=19 HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:38 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:41 +0530] "GET /Lab09/ItemController?action=godeletepage HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:41 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:45 +0530] "POST /Lab09/ItemController HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:45 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:46 +0530] "GET /Lab09/additem.jsp HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:56 +0530] "POST /Lab09/ItemController HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:56 +0530] "GET /Lab09/main.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:03:58 +0530] "GET /Lab09/ItemController?action=understock HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:04:00 +0530] "GET /Lab09/categorywise.jsp HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [02/Apr/2017:00:04:03 +0530] "POST /Lab09/ItemController HTTP/1.1" 200 2451
